ID,FC name,FC parent,FC ontology,ADAN name,ADAN parent,Confidence,Note
102,Lateral occipital artery,Posterior cerebral artery,ILX:0741551,occipital lateral,posterior cerebral postcommunicating part,0.9575339555740356,
102,,,,occipital lateral,occipital lateral,0.9286668300628662,
102,,,,occipital,posterior auricular occipital branch,0.9263337254524231,
102,,,,lateral occipital posterior tempotal branch,occipital lateral,0.9184462428092957,
102,,,,occipital,occipital descending branch,0.913050651550293,
103,Medial occipital artery,Posterior cerebral artery,ILX:0741254,medial occipital,posterior cerebral postcommunicating part,0.9573989510536194,
103,,,,posterior parietal,middle cerebral branch to angular gyrus,0.9417001008987427,
103,,,,medial frontobasal,anterior cerebral,0.928424596786499,
103,,,,medial occipital,medial occipital,0.9272534847259521,
103,,,,occipital,posterior auricular occipital branch,0.9249030351638794,
104,Parieto-occipital artery,Posterior cerebral artery,nan,posterior parietal,middle cerebral branch to angular gyrus,0.9458609819412231,
104,,,,occipital,posterior auricular occipital branch,0.9347618818283081,
104,,,,occipital,occipital,0.9218337535858154,
104,,,,medial occipital,posterior cerebral postcommunicating part,0.9193291664123535,
104,,,,thalamotuberal,posterior communicating,0.9163084626197815,
105,Superior cerebral artery,Basilar artery,nan,superior cerebellar,basilar,0.9859633445739746,
105,,,,anterior inferior cerebellar,basilar,0.9507599472999573,
105,,,,basilar,basilar,0.9381433725357056,
105,,,,anterior cerebral,middle cerebral,0.9139176607131958,
105,,,,anterior cerebral,anterior cerebral,0.9116597175598145,
106,Internal thoracic artery,Right subclavian artery ,UBERON:0002456,internal thoracic,subclavian,0.9707943201065063,
106,,,,superior epigastric,internal thoracic,0.9438877701759338,
106,,,,anterior intercostal branch,internal thoracic,0.9437501430511475,
106,,,,internal thoracic,internal thoracic,0.936896800994873,
106,,,,perforator,internal thoracic,0.9300620555877686,
107,Musculoophrenic artery,Internal thoracic artery,UBERON:0006632,musculophrenic,internal thoracic,0.9999999403953552,align
108,Superior epigastric artery,Internal thoracic artery,UBERON:0007153,superior epigastric,internal thoracic,0.9999998807907104,align
109,Thyrocervical trunk,Right subclavian artery ,ILX:0744822,thyrocervical trunk,subclavian,0.9709237813949585,
109,,,,thyrocervical trunk,thyrocervical trunk,0.942465603351593,
109,,,,costocervical trunk,subclavian,0.9406282901763916,
109,,,,internal thoracic,subclavian,0.9346631169319153,
109,,,,perforator,thyrocervical trunk,0.9291831254959106,
110,Inferior thyroid artery,Thyrocervical trunk,UBERON:0007149,inferior thyroid,thyrocervical trunk,1.0,align
111,Suprascapular artery,Thyrocervical trunk,ILX:0744204,suprascapular,thyrocervical trunk,0.9999998807907104,align
112,Transverse cervical artery,Thyrocervical trunk,UBERON:0012324,transverse cervical,thyrocervical trunk,0.9999999403953552,align
113,Superficial branch of transverse cervical artery,Transverse cervical artery,UBERON:0001071,transverse cervical superficial branch,transverse cervical,0.9898359179496765,
113,,,,transverse cervical,transverse cervical,0.9668734073638916,
113,,,,transverse cervical superficial branch,transverse cervical superficial branch,0.9569493532180786,
113,,,,transverse cervical,thyrocervical trunk,0.9314853549003601,
113,,,,superficial temporal,transverse facial artery,0.8998947143554688,
114,Deep branch of transverse cervical artery,Transverse cervical artery,ILX:0747787,transverse cervical,transverse cervical,0.9569485783576965,
114,,,,transverse cervical,thyrocervical trunk,0.948026180267334,
114,,,,transverse cervical superficial branch,transverse cervical,0.9462656378746033,
114,,,,dorsal scapular,transverse cervical,0.9134677648544312,
114,,,,deep cervical,costocervical trunk,0.9062861204147339,
115,Costocervical trunk,left subclavian artery ,UBERON:0004688,costocervical trunk,subclavian,0.96146160364151,
115,,,,thyrocervical trunk,subclavian,0.9374725818634033,
115,,,,vertebral,subclavian,0.931681752204895,
115,,,,subclavian,subclavian,0.9155728816986084,
115,,,,internal thoracic,subclavian,0.914573073387146,
116,Deep cervical artery,Costocervical trunk,UBERON:0012321,deep cervical,costocervical trunk,0.9999998807907104,align
117,Supreme intercostal artery,Costocervical trunk,ILX:0743066,deep cervical,highest intercostal,0.9375160932540894,
